BatchId,SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants,TSI-OS 02-04 — AI Agent Register.gsheet,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_5cd12b89.gsheet,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\4. CHANGE LOG FORMAT (OS-07-A TEMPLATE),TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_a4c169bc.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\5. MASTER CHANGE REGISTER (OS-07-B),MASTER CHANGE REGISTER (OS-07-B).gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_1593aa5d.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\1. SCOPE,OS-07 Change Log Scope.gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_8d041ec2.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-03  Division Leads,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_243f7c26.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-01  AI Behaviour & Instruction Register (for ChatGPT continuity),AI Behavior Register.gsheet,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_aca57a38.gsheet,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-02  Decision Control Register,Decision Control Register.gsheet,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_169fa536.gsheet,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-06  OS Change Log,TSI-OS 01-06 — OS Change Log (Master).gsheet,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_953c0f26.gsheet,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-02 — Command Words Register,TSI-OS 02-02 — Command Words Register.gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_1212b48e.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,"G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.5 OS-07 Change Log Integration",TSI — OS-07 CHANGE LOG INTEGRATION v1.0 MASTER.gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_f9f3538f.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\6. SAI Development\TSi — SAI Development\3. TSI — SAI SAFETY ASSESSMENT ENGINE\8 — VERSIONING & UPDATE RULES\8.2 Module Change Log (Local),TSI — SAI MODULE CHANGE LOG (LOCAL).gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_b3bdff71.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
med_2026-03-02_17-57-44,,G:\Shared drives\6. SAI Development\TSi — SAI Development\3. TSI — SAI SAFETY ASSESSMENT ENGINE\8 — VERSIONING & UPDATE RULES\8.3 Integration Rules with OS-07 Master Change Log,TSI — INTEGRATION RULES WITH OS-07 (MASTER CHANGE LOG).gdoc,File,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_35c30de6.gdoc,Register document â€” governance folder; FORCE_SHORT_ROOT,Med
