SourceInventory,SourceDrive,FullName,Name,Extension,Length,LastWriteTime,IsDirectory
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-04 — AI Agent Register.gsheet,TSI-OS 02-04 — AI Agent Register.gsheet,.gsheet,179,16/11/2025 20:35:36,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\8. ARCHIVAL RULES (OS-07-E)\Archival Rules (OS-07-E).gdoc,Archival Rules (OS-07-E).gdoc,.gdoc,179,17/11/2025 01:16:55,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\4. CHANGE LOG FORMAT (OS-07-A TEMPLATE)\TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,.gdoc,179,17/11/2025 01:05:09,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\5. MASTER CHANGE REGISTER (OS-07-B)\MASTER CHANGE REGISTER (OS-07-B).gdoc,MASTER CHANGE REGISTER (OS-07-B).gdoc,.gdoc,179,17/11/2025 01:07:27,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\7. AI RULES FOR CHANGE CONTROL (OS-07-D)\AI Rules for Change Control (OS-07-D).gdoc,AI Rules for Change Control (OS-07-D).gdoc,.gdoc,179,17/11/2025 01:15:37,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\10. OS-07 MASTER SUMMARY\OS-07 MASTER SUMMARY.gdoc,OS-07 MASTER SUMMARY.gdoc,.gdoc,179,17/11/2025 01:20:14,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\6. CHANGE IMPLEMENTATION WORKFLOW (OS-07-C)\Change Implementation Workflow (OS-07-C).gdoc,Change Implementation Workflow (OS-07-C).gdoc,.gdoc,179,17/11/2025 01:09:33,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\3. VERSIONING RULES (MANDATORY)\Document Versioning Rules.gdoc,Document Versioning Rules.gdoc,.gdoc,179,17/11/2025 01:00:53,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\9. SECURITY & ACCESS CONTROL (OS-07-F)\SECURITY & ACCESS CONTROL (OS-07-F).gdoc,SECURITY & ACCESS CONTROL (OS-07-F).gdoc,.gdoc,179,17/11/2025 01:18:29,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\1. SCOPE\OS-07 Change Log Scope.gdoc,OS-07 Change Log Scope.gdoc,.gdoc,179,17/11/2025 00:52:02,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\2. CHANGE CONTROL PRINCIPLES\Change Control Principles.gdoc,Change Control Principles.gdoc,.gdoc,179,17/11/2025 00:57:40,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-04 — Responsibilities Matrix\TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,.gdoc,179,16/11/2025 21:51:46,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-03 — Escalation Flows\TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,.gdoc,179,27/11/2025 23:08:53,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-02 — Decision Authority Matrix\TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,.gdoc,179,16/11/2025 21:47:17,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels\TSI-OS 04-01 — Command Levels (v1.0).gdoc,TSI-OS 04-01 — Command Levels (v1.0).gdoc,.gdoc,179,16/11/2025 21:40:27,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-08  TSI Divisions\TSI-OS 01-08 — TSI Divisions Overview (v1.0).gdoc,TSI-OS 01-08 — TSI Divisions Overview (v1.0).gdoc,.gdoc,179,16/11/2025 19:37:22,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-07  Training Matrix\TSI-OS 01-07 — Training Matrix.gsheet,TSI-OS 01-07 — Training Matrix.gsheet,.gsheet,179,16/11/2025 19:36:11,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-03  Division Leads\TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,.gdoc,179,16/11/2025 19:10:48,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-01  AI Behaviour & Instruction Register (for ChatGPT continuity)\AI Behavior Register.gsheet,AI Behavior Register.gsheet,.gsheet,179,16/11/2025 19:03:22,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-02  Decision Control Register\Decision Control Register.gsheet,Decision Control Register.gsheet,.gsheet,179,16/11/2025 19:06:05,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-04  Document Homes\TSI-OS 01-04 — Document Homes (v1.0).gdoc,TSI-OS 01-04 — Document Homes (v1.0).gdoc,.gdoc,179,16/11/2025 19:14:23,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-06  OS Change Log\TSI-OS 01-06 — OS Change Log (Master).gsheet,TSI-OS 01-06 — OS Change Log (Master).gsheet,.gsheet,179,16/11/2025 19:31:43,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-05  Emergency OS Restore Procedure\TSI-OS 01-05 — Emergency OS Restore Procedure (v1.0).gdoc,TSI-OS 01-05 — Emergency OS Restore Procedure (v1.0).gdoc,.gdoc,179,16/11/2025 19:27:43,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-05 — Brand Strategy Framework\TSI-OS 05-05 — Brand Strategy Framework (v1.0).gdoc,TSI-OS 05-05 — Brand Strategy Framework (v1.0).gdoc,.gdoc,179,16/11/2025 23:40:22,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-01 — Enterprise Build Strategy\TSI-OS 05-01 — Enterprise Build Strategy (v1.0).gdoc,TSI-OS 05-01 — Enterprise Build Strategy (v1.0).gdoc,.gdoc,179,16/11/2025 23:33:27,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-02 — 3-Year Roadmap\TSI-OS 05-02 — Three-Year Roadmap (v1.0).gdoc,TSI-OS 05-02 — Three-Year Roadmap (v1.0).gdoc,.gdoc,179,16/11/2025 23:35:39,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-04 — Quarterly OKRs\TSI-OS 05-04 — Quarterly OKRs (v1.0).gdoc,TSI-OS 05-04 — Quarterly OKRs (v1.0).gdoc,.gdoc,179,16/11/2025 23:39:03,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-03 — Annual Plan Template\TSI-OS 05-03 — Annual Plan Template (v1.0).gdoc,TSI-OS 05-03 — Annual Plan Template (v1.0).gdoc,.gdoc,179,16/11/2025 23:37:28,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-02 — Command Words Register\TSI-OS 02-02 — Command Words Register.gdoc,TSI-OS 02-02 — Command Words Register.gdoc,.gdoc,179,16/11/2025 20:31:27,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-01 — AI CONTINUITY PROTOCOL (ACP v3)\TSI-OS 02-01 — AI CONTINUITY PROTOCOL (ACP v3).gdoc,TSI-OS 02-01 — AI CONTINUITY PROTOCOL (ACP v3).gdoc,.gdoc,179,16/11/2025 20:22:12,False
corporate_inventory.csv,1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-03 — Instruction Chain Hierarchy\TSI-OS 02-03 — Instruction Chain Hierarchy.gdoc,TSI-OS 02-03 — Instruction Chain Hierarchy.gdoc,.gdoc,179,16/11/2025 20:33:17,False
