CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\8. ARCHIVAL RULES (OS-07-E),Archival Rules (OS-07-E).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_f1c27781.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\7. AI RULES FOR CHANGE CONTROL (OS-07-D),AI Rules for Change Control (OS-07-D).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_103cadc0.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\10. OS-07 MASTER SUMMARY,OS-07 MASTER SUMMARY.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_9403dbc0.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\6. CHANGE IMPLEMENTATION WORKFLOW (OS-07-C),Change Implementation Workflow (OS-07-C).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_6de70bc3.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\3. VERSIONING RULES (MANDATORY),Document Versioning Rules.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_d11a0840.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\2. CHANGE CONTROL PRINCIPLES,Change Control Principles.gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_381da1c0.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-04 — Responsibilities Matrix,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_a5b33661.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-03 — Escalation Flows,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_ff704f2b.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-02 — Decision Authority Matrix,TSI-OS 04-02 — Decision Authority Matrix (v1.0).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_9a915e34.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-01 — Command Levels,TSI-OS 04-01 — Command Levels (v1.0).gdoc,TSI-01 DocControl.GOOGLE\INCOMING\,TSI-SHORT_ea95dd37.gdoc,SKIPPED_MISSING_SOURCE,Source path missing at execution time
